Basin_Subbasin_Number,Basin_Subbasin_Name,Hydrologic_Region,Region_Office,Basin_Area_Acres,Basin_Area_SqMi,Project_Phase,C1_Population_Census,C1_Population_SqMi,C1_Priority_Points,C2_Population_Projection,C2_Population_Growth,C2_Zero_2010_Population,C2_Negative_or_No_Growth,C2_Postive_Growth_and_2010_Pop_1000,C2_Density_50_and_2010_Population_25000,C2_Priority_Points,C3_Public_Supply_Groundwater_Wells,C3_Public_Supply_Wells_SqMi,C3_Priority_Points,C4_Total_Groundwater_Wells,C4_Production_Wells_SqMi,C4_Priority_Points,C5_Irrigated_Acres,C5_Irrigated_Acres_SqMi,C5_Priority_Points,C6_Agricultural_Groundwater_AF,C6_Agricultural_ Surface_ Water_AF,C6_Agricultural_Total_Applied_Water_AF,C6_Agricultural_Groundwater_Percent_Supply,C6_Agricultural_Surface_Water_Percent_Supply,C6_Urban_Groundwater_AF,C6_Urban_Surface_Water_AF,C6_Urban_Purchased_Surface_Water_AF,C6_Urban_Total_Water_Use_AF,C6_Urban_Groundwater_Percent_Supply,C6_Urban_Surface&Purchased_Water_Percent_Supply,C6_Other_Groundwater,C6_Other_Surface_Water,C6_Groundwater_Use_AF,C6_Surface_Water_Use_AF,C6_Total_Water_Use_AF,C6a_Groundwater_Use_AF_BasinAcre,C6a_Points,C6b_Groundwater_Percent_Supply,C6b_Surface_Water_Percent_Supply,C6b_Points,C6_Priority_Points,C7_Impacts_Declining_Groundwater_Levels_Points,C7_Impacts_Declining_Groundwater_Levels_Comment,C7_Impacts_Subsidence_Points,C7_Impacts_Subsidence_Comment,C7_Impacts_Salt_Intrusion_Points,C7_Impacts_Salt_Intrusion_Comment,C7_Impacts_WQ_Detects,C7_WQ_MCL_Exceed,C7_WQ_Average_MCL_Exceedance,C7_WQ_Average_MCL_Exceed_Points,C7_WQ_Unique_Wells_Excd,C7_WQ_Wells_Excd_Per_PSW,C7_WQ_Wells_Excd_Per_PSW_Points,C7_WQ_Calculated_Points,C7_WQ_Other,C7_Impacts_Water_Quality_Points,C7_Impacts_Water_Quality_Comment,C7_Impacts_Total_Points,C7_Priority_Points,C8a_Streamflow_Points,C8a_Habitat_Points,C8a_Monitoring,C8a_Monitoring_and_GroundwaterThreshold_Adverse,C8a_Adverse_Adjustment,C8a_AdverseComment,C8a_HabitatSF_Priority_Points,C8b_BasinOtherInfo_Priority_Points,C8b_BasinOtherInfoComment,C8a_and_C8b_Priority_Points,C8c_2kGroundwater,C8c_9.5kGW_NoDocImpacts,C8c_Adjudication,C8c_Groundwater_NonAdj_AF,C8c_9.5kGW_NonAdj,C8c_CriticalOverdraft,C8c_OutOfBasinGWExports_SubstitutionTransfers,Substitution_Year,Substitution_Amt,Substitution_PriorityPoints,Total_Priority_Points,Priority,Priority_Change_2014_to_2018
1-027,Big Lagoon Area,North Coast,NRO,13216.9508,20.65148562,1,"2,457",119,1,"2,875",17.01,FALSE,FALSE,FALSE,FALSE,3,15,0.72,4,88,4.26,2,0,0,0,0,0,0,0,0,93,102,0,195,47.7,52.3,0,0,93,102,195,0,0,47,52,3,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,193,5,2.64,2,4,0.27,1,3,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-028,Mattole River Valley,North Coast,NRO,3159.959304,4.937436413,1,72,15,1,79,9.72,FALSE,FALSE,TRUE,TRUE,0,1,0.2,2,10,2.02,2,321,65.01,2,826,363,1189,69.5,30.5,6,0,0,6,100,0,0,0,832,363,1195,0.26,3,69,30,4,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,"""Seawater Intrusion – The Mattole River Headwaters (MRH) are sufficiently distant from the ocean to exclude saltwater intrusion as an issue for this area. Current Management Activities - Other Issues: Seawater intrusion and groundwater subsidence issues are not of concern in the MRH and there are no programs to address them.""  
Source: 1-028_7c_Mattole-Headwaters-Groundwater-Management-Plan.pdf  pg. 51

Not enough information at this time to consider this basin as having saline intrusion issues. Additional research is needed.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-029,Honeydew Town Area,North Coast,NRO,2369.933848,3.703021638,1,19,5,0,21,10.52,FALSE,FALSE,TRUE,TRUE,0,1,0.27,3,6,1.62,1,36,9.72,1,26,106,132,19.7,80.3,2,0,0,2,100,0,0,0,28,106,134,0.01,0,20,79,2,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-030,Pepperwood Town Area,North Coast,NRO,6291.985222,9.831226911,1,315,32,1,317,0.63,FALSE,FALSE,TRUE,TRUE,0,1,0.1,2,24,2.44,2,565,57.46,2,1448,635,2083,69.5,30.5,56,0,0,56,100,0,0,0,1504,635,2139,0.23,2,70,29,4,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-031,Weott Town Area,North Coast,NRO,3655.1647,5.711194844,1,364,64,1,430,18.13,FALSE,FALSE,TRUE,FALSE,0,5,0.87,4,1,0.17,1,68,11.9,1,89,175,264,33.7,66.3,48,0,0,48,100,0,0,0,137,175,312,0.03,1,43,56,3,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-032,Garberville Town Area,North Coast,NRO,2113.157999,3.301809374,1,"1,384",419,2,"1,597",15.39,FALSE,FALSE,FALSE,FALSE,3,1,0.3,3,2,0.6,1,0,0,0,0,0,0,0,0,25,224,0,249,10,90,0,0,25,224,249,0.01,0,10,89,1,0.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-033,Larabee Valley,North Coast,NRO,967.2476853,1.511324509,1,9,6,0,15,66.66,FALSE,FALSE,TRUE,TRUE,0,0,0,0,4,2.64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-034,Dinsmores Town Area,North Coast,NRO,2277.858039,3.559153186,1,183,51,1,232,26.77,FALSE,FALSE,TRUE,FALSE,0,3,0.84,4,11,3.09,2,64,17.98,1,0,220,220,0,100,15,0,0,15,100,0,0,0,15,220,235,0,0,6,93,1,0.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-035,Hyampom Valley,North Coast,NRO,1354.810403,2.116891255,1,52,25,1,112,115.38,FALSE,FALSE,TRUE,TRUE,0,0,0,0,18,8.5,3,76,35.9,2,102,133,235,43.4,56.6,27,0,0,27,100,0,0,0,129,133,262,0.09,1,49,50,3,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,20,6,2.93,2,1,1,4,6,0,2,0,2,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-036,Hettenshaw Valley,North Coast,NRO,847.013642,1.323458816,1,5,4,0,11,120,FALSE,FALSE,TRUE,TRUE,0,0,0,0,2,1.51,1,476,359.66,5,0,1627,1627,0,100,0,0,0,0,0,0,0,0,0,1627,1627,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-037,Cottoneva Creek Valley,North Coast,NCRO,762.1121488,1.190800233,1,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-038,Lower Laytonville Valley,North Coast,NRO,2153.125303,3.364258287,1,107,32,1,202,88.78,FALSE,FALSE,TRUE,TRUE,0,0,0,0,27,8.02,3,8,2.37,1,1,17,18,5.6,94.4,22,0,0,22,100,0,0,0,23,17,40,0.01,0,57,42,3,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-039,Branscomb Town Area,North Coast,NRO,1382.087333,2.159511458,1,95,44,1,195,105.26,FALSE,FALSE,TRUE,TRUE,0,0,0,0,6,2.77,2,0,0,0,0,0,0,0,0,18,0,0,18,100,0,0,0,18,0,18,0.01,0,100,0,5,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-040,Ten Mile River Valley,North Coast,NCRO,1491.34323,2.330223797,1,61,26,1,99,62.29,FALSE,FALSE,TRUE,TRUE,0,0,0,0,13,5.57,3,19,8.15,1,56,18,74,75.7,24.3,5,0,0,5,100,0,0,0,61,18,79,0.04,1,77,22,4,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-041,Little Valley,North Coast,NCRO,812.5005572,1.269532121,1,11,9,1,11,0,FALSE,TRUE,FALSE,TRUE,0,0,0,0,1,0.78,1,22,17.32,1,66,22,88,75,25,0,0,0,0,0,0,0,0,66,22,88,0.08,1,75,25,4,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-042,Sherwood Valley,North Coast,NRO,1150.702385,1.797972477,1,13,7,1,13,0,FALSE,TRUE,FALSE,TRUE,0,0,0,0,3,1.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-043,Williams Valley,North Coast,NRO,1643.443163,2.567879942,1,2,1,0,2,0,FALSE,TRUE,FALSE,TRUE,0,0,0,0,3,1.16,1,101,39.33,2,0,461,461,0,100,0,0,0,0,0,0,0,0,0,461,461,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-044,Eden Valley,North Coast,NRO,1377.460314,2.152281741,1,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,381,177.02,3,1040,674,1714,60.7,39.3,0,0,0,0,0,0,0,0,1040,674,1714,0.75,5,60,39,4,4.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-045,Big River Valley,North Coast,NCRO,1685.874596,2.634179057,1,29,11,1,29,0,FALSE,TRUE,FALSE,TRUE,0,4,1.51,5,34,12.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,24,8,6.5,5,6,1.5,5,10,0,3,0,3,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-046,Navarro River Valley,North Coast,NCRO,768.4748942,1.200742022,1,32,27,1,37,15.62,FALSE,FALSE,TRUE,TRUE,0,0,0,0,15,12.49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-048,Gravelly Valley,North Coast,NRO,2976.314614,4.650491585,1,11,2,0,12,9.09,FALSE,FALSE,TRUE,TRUE,0,2,0.43,3,12,2.58,2,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,0,5,0,5,0,0,100,0,5,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,24,5,4.81,4,3,1.5,5,9,0,3,0,3,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-049,Annapolis Ohlson Ranch Fm Highlands,North Coast,NCRO,8652.991139,13.52029866,1,233,17,1,315,35.19,FALSE,FALSE,TRUE,TRUE,0,0,0,0,54,3.99,2,183,13.53,1,212,0,212,100,0,31,3,0,34,91.2,8.8,0,0,243,3,246,0.02,0,98,1,5,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,24,4,11.82,5,2,2,5,10,0,3,0,3,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-050,Knights Valley,North Coast,NCRO,4089.515344,6.389867726,1,102,16,1,88,-13.72,FALSE,TRUE,FALSE,TRUE,0,0,0,0,48,7.51,3,"1,511",236.46,4,1439,359,1798,80,20,9,0,0,9,100,0,0,0,1448,359,1807,0.35,3,80,19,5,4, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-051,Potter Valley,North Coast,NCRO,8242.995584,12.8796806,1,"1,145",89,1,"1,145",0,FALSE,TRUE,FALSE,FALSE,0,1,0.07,1,199,15.45,4,"3,995",310.17,4,0,11500,11500,0,100,233,0,0,233,100,0,0,0,233,11500,11733,0.02,0,1,98,1,0.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,70,3,1.1,1,1,1,4,5,0,1,0,1,0,0,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-052,Ukiah Valley,North Coast,NCRO,37537.35601,58.65211877,1,"32,713",558,2,"38,769",18.51,FALSE,FALSE,FALSE,FALSE,3,49,0.83,4,922,15.71,4,"8,598",146.59,3,13493,6499,19992,67.5,32.5,2315,2864,61,5240,44.2,55.8,0,0,15808,9424,25232,0.42,3,62,37,4,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"1,059",37,4.45,4,15,0.31,1,5,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,19.5,Medium,No Change
1-053,Sanel Valley,North Coast,NCRO,5572.421155,8.706908056,1,693,80,1,617,-10.96,FALSE,TRUE,FALSE,FALSE,0,5,0.57,4,61,7,3,"2,209",253.7,4,3463,1484,4947,70,30,143,0,0,143,100,0,0,0,3606,1484,5090,0.64,4,70,29,4,4, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-054.01,Alexander Valley - Alexander Area,North Coast,NCRO,24484.39899,38.25687342,1,"1,793",47,1,"1,523",-15.05,FALSE,TRUE,FALSE,TRUE,0,46,1.2,5,795,20.78,5,"7,831",204.69,4,5650,1412,7062,80,20,251,0,0,251,100,0,0,0,5901,1412,7313,0.24,2,80,19,5,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,880,112,4.99,4,16,0.35,1,5,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-054.02,Alexander Valley - Cloverdale Area,North Coast,NCRO,6530.073029,10.20323911,1,"8,297",813,2,"10,713",29.11,FALSE,FALSE,FALSE,FALSE,4,10,0.98,4,259,25.38,5,"1,845",180.82,3,1328,332,1660,80,20,1013,355,0,1368,74,26,0,0,2341,687,3028,0.35,3,77,22,4,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,458,10,2.88,2,4,0.4,1,3,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-055.01,Santa Rosa Valley - Santa Rosa Plain,North Coast,NCRO,81284.31098,127.0067359,2,"257,985","2,031",3,"299,781",16.2,FALSE,FALSE,FALSE,FALSE,3,167,1.31,5,"7,008",55.17,5,"11,108",87.45,2,11331.60145,6056.08593,17387.68738,65.2,34.8,9663,4596,17217,31476,30.7,69.3,0,0,20994.95593,27868.84913,48863.80506,0.25,3,43,57,3,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"14,865","4,686",6.26,5,171,1.02,5,10,0,3,0,3,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,21,Medium,No Change
1-055.02,Santa Rosa Valley - Healdsburg Area,North Coast,NCRO,15412.69511,24.08233612,1,"10,519",437,2,"9,566",-9.05,FALSE,TRUE,FALSE,FALSE,0,60,2.49,5,978,40.61,5,"6,537",271.44,4,5010,1097,6107,82,18,292,1497,0,1789,16.3,83.7,0,0,5302,2594,7896,0.34,3,67,32,4,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"1,361",167,7.49,5,32,0.53,2,7,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-055.03,Santa Rosa Valley - Rincon Valley,North Coast,NCRO,5553.167364,8.676824007,1,"21,784","2,511",4,"25,213",15.74,FALSE,FALSE,FALSE,FALSE,3,12,1.38,5,614,70.76,5,115,13.25,1,61,32,93,65.6,34.4,375,0,2342,2717,13.8,86.2,0,0,436,2374,2810,0.07,1,15,84,1,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,521,78,2.52,2,9,0.75,3,5,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-056,Mcdowell Valley,North Coast,NCRO,1487.583918,2.324349872,1,106,46,1,106,0,FALSE,TRUE,FALSE,TRUE,0,0,0,0,11,4.73,2,546,234.9,4,821,352,1173,70,30,17,0,0,17,100,0,0,0,838,352,1190,0.56,4,70,29,4,4, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,Not Monitored with > 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-057,Bodega Bay Area,North Coast,NCRO,2668.737639,4.169902562,1,549,132,1,438,-20.21,FALSE,TRUE,FALSE,FALSE,0,8,1.91,5,20,4.79,2,0,0,0,0,0,0,0,0,211,0,0,211,100,0,0,0,211,0,211,0.07,1,100,0,5,3,7.5,"No documented Groundwater Level Declines
Source: 1-057_7a_Hydrographs_BodegaBay.pdf

2) Although the DWR has classified this area as being located within the Bodega Bay Groundwater Basin, information regarding this groundwater basin is limited. Groundwater is contained in generally thin terrace deposits and in fractures in the underlying Franciscan Assemblage rocks. The lack of a large storage volume in these aquifer materials limits the available water supply and subjects this area to water supply problems during successive dry years. Continued growth in areas of limited groundwater that also depends on groundwater can present supply problems to existing wells. In addition, the proximity of this basin to the ocean has lead to problems with saltwater intrusion (4.5-26).  
Source:  1-057_7a_SonomaCountyGP2020Draft EIR_sec4-05.pdf  pg. 4.5-26, 4.5-55, 4.5-56",0,No documented groundwater extraction induced inelastic Subsidence,5,"1) BodegaBayPUD-2016-CCR-1.pdf says average specific conductance (5 wells) is 882.50 (MCL is 1600); source is seawater influence.
Source: 1-057_7c_BodegaBayPUD-2016-CCR-1.pdf  pg. 1

2) Although the DWR has classified this area as being located within the Bodega Bay Groundwater Basin, information regarding this groundwater basin is limited. Groundwater is contained in generally thin terrace deposits and in fractures in the underlying Franciscan Assemblage rocks. The lack of a large storage volume in these aquifer materials limits the available water supply and subjects this area to water supply problems during successive dry years. Continued growth in areas of limited groundwater that also depends on groundwater can present supply problems to existing wells. In addition, the proximity of this basin to the ocean has lead to problems with saltwater intrusion (4.5-26).  The Bodega Bay community also has a salt water intrusion problem, and the Bodega Bay PUD is continuously battling saltwater intrusion in its wells that serve this unincorporated urban area (4.5-55).  Non-discretionary land use and development entitlements could result in seawater intrusion associated with agricultural well development, low density development, and urban development. However, the relatively low density allowed in these rural areas, coupled with the fact that the Bodega Bay Public Utility District was able to develop wells in areas not affected by saltwater intrusion, would reduce this impact to a less-than-significant level (4-5.56). 
Source:  1-057_7c_SonomaCountyGP2020Draft EIR_sec4-05.pdf  pg. 4.5-26, 4.5-55, 4.5-56",306,45,5.51,4,6,0.75,3,7,0,2,0,14.5,3,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-059,Wilson Grove Formation Highlands,North Coast,NCRO,63836.65817,99.74477838,2,"24,797",249,1,"22,371",-9.78,FALSE,TRUE,FALSE,FALSE,0,70,0.7,4,"5,315",53.28,5,"5,385",53.99,2,5523.058063,2319.222155,7842.280217,70.4,29.6,3332,606,203,4141,80.5,19.5,0,0,8855.381429,3128.002428,11983.38386,0.13,2,73.9,26.1,4,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"2,202",490,7.74,5,49,0.7,2,7,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-060,Lower Russian River Valley,North Coast,NCRO,6644.953158,10.38273931,1,"3,754",362,2,"4,358",16.08,FALSE,FALSE,FALSE,FALSE,3,31,2.98,5,113,10.88,4,979,94.29,2,540,291,831,65,35,447,0,6,453,98.7,1.3,0,0,987,297,1284,0.14,2,76,23,4,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"2,195",383,4.81,4,28,0.9,3,7,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
