Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA0300051,KIT CARSON LODGE,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,NULL,27,NULL,NULL,NULL,27,N1,Transient Non-Community Water System,5/8/2018,KIT CARSON,NULL,,NR,Not Required
CA0300052,COOK'S STATION,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,38,38,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,9/30/2020,PIONEER,NULL,,NR,Not Required
CA0300053,RANCHO DEL ORO,AMADOR,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,44,NULL,NULL,44,NULL,24,NULL,NULL,NULL,24,SC,Small Community,11/3/2018,PLYMOUTH,NULL,,D1,Distribution Operator Level 1
CA0300055,SUNSET WEST MUTUAL WATER COMPANY,AMADOR,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,NULL,8,NULL,NULL,NULL,8,SP,Non-Transient Non-Community Water System,3/20/2017,MARTELL,NULL,,D1,Distribution Operator Level 1
CA0300060,BLACK'S STATION,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,12/14/2017,PIONEER,NULL,,NR,Not Required
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,30,NULL,NULL,30,NULL,21,NULL,NULL,NULL,21,SC,Small Community,12/5/2018,PLYMOUTH,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA0300065,BEAR RIVER SUMMER HOME TRACT,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,45,45,NULL,43,NULL,NULL,NULL,43,N1,Transient Non-Community Water System,10/30/2020,PIONEER,NULL,,NR,Not Required
CA0300070,E. SILVER LAKE HOMEOWNERS,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,54,54,NULL,54,NULL,NULL,NULL,54,N1,Transient Non-Community Water System,10/19/2020,SILVER LAKE,NULL,,NR,Not Required
CA0300073,AMADOR WATER AGENCY--TIGER CREEK POWERHO,AMADOR,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,SW,Surface Water,NULL,35,NULL,35,NULL,9,NULL,NULL,NULL,9,SP,Non-Transient Non-Community Water System,9/30/2020,PIONEER,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA0300074,SO. SILVER LAKE HOMEOWNERS,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,24,24,NULL,24,NULL,NULL,NULL,24,N1,Transient Non-Community Water System,7/10/2016,SILVER LAKE,NULL,,NR,Not Required
CA0300076,KIRKWOOD CAMPGROUND,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,65,65,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,9/27/2016,KIRKWOOD,NULL,,NR,Not Required
CA0300077,"CHARLES SPINETTA WINERY, LLC",AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,12/9/2015,PLYMOUTH,NULL,,NR,Not Required
CA0300078,IONE BAND OF MIWOK INDIANS,AMADOR,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,62,NULL,NULL,62,NULL,20,NULL,NULL,NULL,20,SC,Small Community,6/12/2017,IONE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA0300080,PLASSE'S RESORT,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,711,711,NULL,125,NULL,NULL,NULL,125,N1,Transient Non-Community Water System,7/31/2017,PIONEER,NULL,,NR,Not Required
CA0300081,VILLA TOSCANO WINERY,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,6/6/2017,PLYMOUTH,NULL,,NR,Not Required
CA0300083,BELLA PIAZZA WINERY,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,71,71,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,6/6/2017,PLYMOUTH,NULL,,NULL,
CA0300085,ROARING CAMP,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,5/10/2017,PINE GROVE,NULL,,NR,Not Required
CA0300086,GRACE FELLOWSHIP CHURCH,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,3/2/2016,JACKSON,NULL,,NR,Not Required
CA0300087,TURLEY WINE CELLARS,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,1/15/2015,PLYMOUTH,NULL,,NR,Not Required
CA0300088,BLACK CHASM CAVERN,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,112,112,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,12/11/2018,VOLCANO,NULL,,NR,Not Required
CA0300089,JEFF RUNQUIST WINERY,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,32,32,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,12/4/2017,PLYMOUTH,NULL,,NR,Not Required
CA0300090,BORJON WINERY,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,4/12/2016,PLYMOUTH,NULL,,NR,Not Required
CA0300091,SERA FINA CELLARS,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,2/22/2017,PLYMOUTH,NULL,,NR,Not Required
CA0300092,DRIVEN CELLARS,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,8/15/2017,PLYMOUTH,NULL,,NR,Not Required
CA0300095,AMADOR FLOWER FARM,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,10/9/2018,PLYMOUTH,NULL,,NULL,
CA0300096,ANDIS WINES,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,32,32,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,3/14/2017,PLYMOUTH,NULL,,NR,Not Required
CA0300097,SIERRA SUNRISE DBA TERRA D'ORO/MONTEVINA,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,81,81,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,4/6/2017,PLYMOUTH,T1,Treatment Operator Level 1,NR,Not Required
CA0300099,HELWIG WINERY,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,32,32,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,11/14/2017,PLYMOUTH,NULL,,NR,Not Required
CA0300101,ROMBAUER VINEYARDS,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,5/1/2018,PLYMOUTH,NULL,,NR,Not Required
CA0300102,SCHMITZ WINES,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,1/23/2018,NULL,NULL,,NULL,
CA0300104,SLO 2 20 TASTING ROOM,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,NULL,NULL,NULL,,NR,Not Required
CA0300107,BELLA GRACE VINEYARDS,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,NULL,PLYMOUTH,NULL,,NULL,
CA0300108,RANCHO VICTORIA TASTING ROOM,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,NULL,NULL,NULL,,NULL,
CA0300110,IRON HUB WINERY,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,NULL,NULL,NULL,,NULL,
CA0300112,PAUL J. WINES,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,NULL,PLYMOUTH,NULL,,NR,Not Required
CA0300113,C. G. DI ARIE VINEYARD AND WINERY,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,8/13/2018,NULL,NULL,,NR,Not Required
CA0300448,MALLO GOLD MINE PLAZA,AMADOR,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,NULL,10,NULL,NULL,NULL,10,SP,Non-Transient Non-Community Water System,2/16/2016,PINE GROVE,NULL,,D1,Distribution Operator Level 1
CA0300524,"MP ASSOCIATES, INC.",AMADOR,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,170,NULL,170,NULL,2,NULL,NULL,NULL,2,SP,Non-Transient Non-Community Water System,10/4/2016,IONE,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA0300649,RANCHO CICADA,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,9/13/2017,PLYMOUTH,NULL,,NR,Not Required
CA0300667,GOLDEN VALLEY CAMP,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,5/21/2018,VOLCANO,NULL,,NR,Not Required
CA0301038,PARDEE RECREATION AREA,AMADOR,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,SW,Surface Water,5,100,243,348,NULL,80,NULL,NULL,NULL,80,SP,Non-Transient Non-Community Water System,7/2/2018,VALLEY SPRINGS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA0310001,CITY OF JACKSON,AMADOR,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,4686,NULL,NULL,4686,NULL,2175,NULL,NULL,NULL,2175,C1,Large Water System,5/1/2019,JACKSON,NULL,,D2,Distribution Operator Level 2
CA0310002,"AWA, IONE",AMADOR,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,6170,NULL,NULL,6170,NULL,2114,NULL,NULL,NULL,2114,C1,Large Water System,2/20/2020,JACKSON,T3,Treatment Operator Level 3,D2,Distribution Operator Level 2
CA0310003,"AWA, TANNER",AMADOR,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,4943,NULL,NULL,4943,NULL,1741,NULL,NULL,NULL,1741,C1,Large Water System,2/20/2020,SUTTER CREEK,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CA0310004,"PLYMOUTH, CITY OF",AMADOR,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,1060,NULL,NULL,1060,NULL,520,NULL,NULL,NULL,520,SC,Small Community,7/8/2019,PLYMOUTH,NULL,,D2,Distribution Operator Level 2
CA0310005,PINE GROVE COMM SERV DIST,AMADOR,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,846,NULL,NULL,846,NULL,388,NULL,NULL,NULL,388,DAVCS,Disadvantaged Small Community Water System,3/14/2019,PINE GROVE,NULL,,D1,Distribution Operator Level 1
CA0310006,RIVER PINES PUD,AMADOR,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,510,NULL,NULL,510,NULL,216,NULL,NULL,NULL,216,DAVCS,Disadvantaged Small Community Water System,1/23/2019,RIVER PINES,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA0310008,CAMANCHE NORTH SHORE INC.,AMADOR,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,204,NULL,807,1011,NULL,211,NULL,NULL,NULL,211,SC,Small Community,10/17/2019,VALLEY SPRINGS,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA0310011,FIRST MACE MEADOW # 1,AMADOR,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,838,NULL,NULL,838,NULL,337,NULL,NULL,NULL,337,SC,Small Community,6/18/2019,PIONEER,NULL,,D1,Distribution Operator Level 1
CA0310012,AWA BUCKHORN PLANT,AMADOR,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,8809,NULL,NULL,8809,NULL,2729,NULL,NULL,NULL,2729,C1,Large Water System,9/30/2020,JACKSON,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,200,NULL,NULL,200,NULL,82,NULL,NULL,NULL,82,SC,Small Community,6/18/2019,PIONEER,NULL,,D1,Distribution Operator Level 1
CA0310019,AWA LA MEL HEIGHTS #3,AMADOR,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,188,NULL,NULL,188,NULL,55,NULL,NULL,NULL,55,SC,Small Community,4/26/2019,JACKSON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA0310021,AWA - CAMANCHE VILLAGE,AMADOR,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,2384,NULL,NULL,2384,NULL,725,NULL,NULL,NULL,725,DAVCS,Disadvantaged Small Community Water System,5/30/2019,IONE,TD,Treatment or distribution operator of any grade,D3,Distribution Operator Level 3
CA0310300,INDIAN GRINDING ROCK-CALAVERAS DISTRICT,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GW,Groundwater,1,NULL,31,32,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,5/22/2018,PINE GROVE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0310803,LA MESA VINEYARDS,AMADOR,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,3,NULL,NULL,NULL,3,NULL,,NULL,PLYMOUTH,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,150,NULL,NULL,150,NULL,52,NULL,NULL,NULL,52,SC,Small Community,3/16/2016,CHICO,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400003,HARTLEY MUTUAL WATER SYSTEM,BUTTE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,31,NULL,NULL,31,NULL,16,NULL,NULL,NULL,16,NULL,,8/24/2018,FOREST RANCH,NULL,,D1,Distribution Operator Level 1
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,BUTTE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,92,NULL,NULL,92,NULL,42,NULL,NULL,NULL,42,NULL,,6/7/2019,FOREST RANCH,NULL,,D1,Distribution Operator Level 1
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,399,NULL,NULL,399,NULL,168,NULL,NULL,NULL,168,NULL,,2/22/2017,CHICO,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400008,GRAN MUTUAL WATER CO,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,200,NULL,NULL,200,NULL,94,NULL,NULL,NULL,94,NULL,,3/23/2017,CHICO,NULL,,D1,Distribution Operator Level 1
CA0400010,PSEA CAMP - DESABLA,BUTTE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,108,108,NULL,18,NULL,NULL,NULL,18,NULL,,6/29/2017,MAGALIA,TD,Treatment or distribution operator of any grade,NR,Not Required
CA0400012,FARM LABOR HOUSING,BUTTE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,460,NULL,NULL,460,NULL,144,NULL,NULL,NULL,144,NULL,,10/12/2018,GRIDLEY,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA0400013,MERRY MOUNTAIN MUTUAL,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,100,NULL,NULL,100,NULL,97,NULL,NULL,NULL,97,NULL,,8/8/2019,CLIPPER MILLS,NULL,,D1,Distribution Operator Level 1
CA0400014,LAKE MADRONE WATER DISTRICT,BUTTE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,297,NULL,NULL,297,NULL,123,NULL,NULL,NULL,123,NULL,,5/30/2019,BERRY CREEK,NULL,,D1,Distribution Operator Level 1
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,BUTTE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,77,NULL,NULL,77,NULL,36,NULL,NULL,NULL,36,NULL,,5/16/2017,BERRY CREEK,NULL,,D1,Distribution Operator Level 1
CA0400018,BRUSH CREEK RANGER STATION,BUTTE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,30,30,NULL,7,NULL,NULL,NULL,7,NULL,,5/11/2017,BRUSH CREEK,NULL,,NR,Not Required
CA0400019,OROVILLE MOBILE HOME PARK,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,74,NULL,NULL,74,NULL,35,NULL,NULL,NULL,35,SC,Small Community,5/13/2020,OROVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400020,PLEASANT GROVE MHP,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,327,NULL,NULL,327,NULL,88,NULL,NULL,NULL,88,NULL,,5/13/2015,OROVILLE,NULL,,D1,Distribution Operator Level 1
CA0400021,ROBINSON'S CORNER MHP,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,20,NULL,NULL,20,NULL,22,NULL,NULL,NULL,22,NULL,,6/24/2020,OROVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400023,GOLDEN OAKS MOBILE ESTATES,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,34,NULL,NULL,34,NULL,52,NULL,NULL,NULL,52,SC,Small Community,5/13/2020,OROVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400026,MEADOWBROOK OAKS,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,NULL,25,NULL,NULL,NULL,25,NULL,,6/24/2020,OROVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400027,FOOTHILL SOLAR COMPANY,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,180,NULL,NULL,180,NULL,127,NULL,NULL,NULL,127,NULL,,6/24/2020,OROVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400030,GOLDEN FEATHER MHP,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,275,NULL,NULL,275,NULL,100,NULL,NULL,NULL,100,NULL,,6/25/2020,OROVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400036,MOUNTAIN VIEW MOBILE ACRES MHP LLC,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,230,NULL,NULL,230,NULL,129,NULL,NULL,NULL,129,NULL,,6/3/2020,CHICO,NULL,,D1,Distribution Operator Level 1
CA0400040,ALMOND GROVE MOBILE PARK,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,250,NULL,NULL,250,NULL,175,NULL,NULL,NULL,175,NULL,,3/7/2017,CHICO,NULL,,D1,Distribution Operator Level 1
CA0400041,FOREST RANCH MOBILE PARK,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,25,NULL,NULL,25,NULL,16,NULL,NULL,NULL,16,NULL,,6/3/2020,FOREST RANCH,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400042,FOREST VILLAGE LLC,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,34,NULL,NULL,34,NULL,21,NULL,NULL,NULL,21,NULL,,4/30/2019,FOREST RANCH,NULL,,D1,Distribution Operator Level 1
CA0400048,SCOTTY 'S WATERFRONT GARDENS,BUTTE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,12,NULL,NULL,NULL,12,NULL,,6/14/2017,CHICO,NULL,,NR,Not Required
CA0400051,DINGERVILLE USA PARK,BUTTE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,447,NULL,NULL,447,NULL,80,NULL,NULL,NULL,80,NULL,,6/25/2020,OROVILLE,NULL,,D1,Distribution Operator Level 1
CA0400060,HONCUT ELEMENTARY SCHOOL,BUTTE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,25,NULL,25,NULL,3,NULL,NULL,NULL,3,SP,Non-Transient Non-Community Water System,5/17/2019,HONCUT,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA0400062,RICHVALE ELEMENTARY SCHOOL,BUTTE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,63,NULL,63,NULL,4,NULL,NULL,NULL,4,NULL,,10/2/2018,RICHVALE,NULL,,D1,Distribution Operator Level 1
CA0400063,MANZANITA ELEMENTARY SCHOOL,BUTTE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,295,NULL,295,NULL,3,NULL,NULL,NULL,3,NULL,,5/30/2019,GRIDLEY,NULL,,D1,Distribution Operator Level 1
CA0400064,CONCOW ELEMENTARY SCHOOL,BUTTE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,115,NULL,115,NULL,11,NULL,NULL,NULL,11,NULL,,5/26/2017,CONCOW,T3,Treatment Operator Level 3,D1,Distribution Operator Level 1
CA0400065,SPRING VALLEY SCHOOL,BUTTE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,70,NULL,70,NULL,1,NULL,NULL,NULL,1,NULL,,2/2/2019,OROVILLE,NULL,,D1,Distribution Operator Level 1
CA0400067,FEATHER RIVER SCHOOL,BUTTE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,NULL,2,NULL,NULL,NULL,2,NULL,,5/13/2020,OROVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0400068,BERRY CREEK SCHOOL,BUTTE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,95,NULL,95,NULL,6,NULL,NULL,NULL,6,NULL,,2/5/2015,BERRY CREEK,NULL,,D1,Distribution Operator Level 1
CA0400070,BUTTE-GLENN COMMUNITY COLLEGE DIST,BUTTE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,18000,NULL,18000,NULL,35,NULL,NULL,NULL,35,SP,Non-Transient Non-Community Water System,8/14/2020,OROVILLE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
