Year,Basin,BasinID,GWDP_Annual,SWDTotal_Annual,GWCTotal_Annual,SWDemandTotal_Annual,TotalNonConsumptiveUse_Annual,NetSurfaceWaterLoss_Annual,,PrecipitationRate_NonPeak,PrecipitationRate_Peak,PrecipitationRate_Annual,PrecipitationVolume_NonPeak,PrecipitationVolume_Peak,PrecipitationVolume_Annual,TotalRecharge,TotalRunoff,TotalET,SuppyTotal_NonPeak,SupplyTotal_Peak,SupplyTotal_Annual,StreamflowAF_NonPeak,StreamflowAF_Peak,StreamflowAF_Annual,StreamflowAFUncapped_NonPeak,StreamflowAFUncapped_Peak,StreamflowAFUncapped_Annual,SWDTotal_NonPeak,SWDTotal_Peak,GWDP_NonPeak,GWDP_Peak,BasinInflows_NonPeak,BasinInflows_Peak,BasinInflows_Annual,LongTermDemandTotal_NonPeak,LongTermDemandTotal_Peak,LongTermDemandTotal_Annual,NearTermDemandTotal_NonPeak,NearTermDemandTotal_Peak,NearTermDemandTotal_Annual,ProjectedLongTermDemandTotal_NonPeak,ProjectedLongTermDemandTotal_Peak,ProjectedLongTermDemandTotal_Annual,SWDemandTotal_NonPeak,SWDemandTotal_Peak,SWDemandTotal_Annual,SWDemand_NonPeak,SWDemand_Peak,SWDemand_Annual,SWDEvaporation_NonPeak,SWDEvaporation_Peak,SWDEvaporation_Annual,GWCIrrigation_NonPeak,GWCIrrigation_Peak,GWCIrrigation_Annual,GWCMunicipal_NonPeak,GWCMunicipal_Peak,GWCMunicipal_Annual,GWCIndustrial_NonPeak,GWCIndustrial_Peak,GWCIndustrial_Annual,GWCTotal_NonPeak,GWCTotal_Peak,GWCTotal_Annual,NetSurfaceWaterLoss_NonPeak,NetSurfaceWaterLoss_Peak,NetSurfaceWaterLoss_Annual,TotalNonConsumptiveUse_NonPeak,TotalNonConsumptiveUse_Peak,TotalNonConsumptiveUse_Annual,InducedGWRecharge_NonPeak,InducedGWRecharge_Peak,InducedGWRecharge_Annual,InstreamFlow_NonPeak,InstreamFlow_Peak,InstreamFlow_Annual,Hydropower_NonPeak,Hydropower_Peak,Hydropower_Annual,BasinOutflows_NonPeak,BasinOutflows_Peak,BasinOutflows_Annual,GWIAcres,SWIAcres,COIAcres,NearTermBalanceNonPeak,NearTermBalance_Peak,NearTermBalance_Annual,LongTermBalance_NonPeak,LongTermBalance_Peak,LongTermBalance_Annual,ProjectedLongTermBalance_NonPeak,ProjectedLongTermBalance_Peak,ProjectedLongTermBalance_Annual
2005,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,NIOBRARA,9,46088,78329,187188,106345,1106380,25968,,13,7,20,8616977,4498840,13115817,1086007,310566,11719245,1088897,314634,1403531,1047007,232107,1279114,1144527,232543,1377070,8120,70209,33770,12318,0,0,0,1078755,347126,1425881,981267,303514,1284781,1132693,364482,1497175,58548,47797,106345,57578,45394,102972,970,2403,3373,130127,55769,185896,1005,149,1154,126,12,138,131258,55930,187188,5047,20921,25968,883902,222478,1106380,0,0,0,0,0,0,883902,222478,1106380,0,0,0,370163,57006,16054,107630,11120,118750,10142,-32492,-22350,-43796,-49848,-93644
1989,NIOBRARA,9,47068,87129,181253,104514,963918,40045,,6,5,11,4150877,3064503,7215380,906815,247589,6060977,907708,257036,1164744,861165,169382,1030547,870538,169382,1039920,11544,75585,34999,12069,0,0,0,984980,304750,1289730,892878,262667,1155545,1034229,319988,1354216,51624,52890,104514,47692,50190,97882,3932,2700,6632,125985,53994,179978,990,147,1137,126,12,138,127100,54153,181253,6922,33123,40045,799333,164585,963918,0,0,0,0,0,0,799333,164585,963918,0,0,0,378501,57298,16900,14830,-5631,9199,-77272,-47715,-124986,-126521,-62952,-189473
1990,NIOBRARA,9,47856,67171,150312,98470,1008980,17564,,11,8,19,6934998,5124371,12059369,920944,256890,10881536,881274,303815,1185089,836249,233813,1070062,839587,237368,1076955,9227,57944,35798,12058,0,0,0,955531,319795,1275327,885890,286980,1172870,1003308,335785,1339093,57563,40906,98470,56144,38295,94440,1419,2611,4030,104336,44716,149052,977,145,1123,126,12,138,105439,44873,150312,5691,11873,17564,786837,222143,1008980,0,0,0,0,0,0,786837,222143,1008980,0,0,0,393127,58864,17785,-4616,16834,12219,-74257,-15981,-90238,-122034,-31970,-154004
1991,NIOBRARA,9,48821,91484,250210,111805,1040059,38904,,12,6,18,7295782,4385552,11681334,979954,271276,10430104,920124,341490,1261614,870687,250622,1121309,876479,256840,1133319,13409,78075,36028,12793,0,0,0,1042194,398784,1440978,902860,336729,1239589,1094303,418723,1513026,49107,62698,111805,46763,60224,106987,2344,2474,4818,174298,74699,248997,937,137,1074,126,12,138,175361,74848,250210,6593,32311,38904,811132,228927,1040059,0,0,0,0,0,0,811132,228927,1040059,0,0,0,400227,59694,17990,17264,4761,22025,-122070,-57294,-179364,-174179,-77233,-251412
1992,NIOBRARA,9,51091,47046,93477,79722,1066587,6566,,9,11,20,5609028,7085431,12694459,950206,264999,11479254,885724,335315,1221039,838711,284191,1122902,839394,284308,1123702,8673,38373,38340,12751,0,0,0,924521,321831,1246352,897220,306746,1203966,970747,337923,1308670,60953,18769,79722,57787,18857,76644,3166,-88,3078,64608,27689,92298,906,134,1041,126,12,138,65641,27836,93477,4708,1858,6566,793219,273368,1066587,0,0,0,0,0,0,793219,273368,1066587,0,0,0,408157,60576,18121,-11496,28569,17073,-38797,13484,-25313,-85023,-2608,-87631
1993,NIOBRARA,9,51567,49040,112200,67878,1161960,18759,,11,11,22,6521583,6903238,13424821,1109039,325669,11990112,1035998,404767,1440765,981886,358272,1340158,1002716,367331,1370047,15710,33330,38402,13165,0,0,0,989430,371367,1360798,949086,351079,1300164,1038902,389936,1428838,49684,18195,67878,46665,17898,64562,3019,297,3316,77713,33305,111018,908,136,1044,126,12,138,78747,33454,112200,5252,13507,18759,855748,306212,1161960,0,0,0,0,0,0,855748,306212,1161960,0,0,0,411545,60419,18379,86912,53689,140601,46567,33400,79967,-2904,14832,11928
1994,NIOBRARA,9,51856,77187,159582,92594,1142438,35180,,9,9,18,6076064,5658635,11734699,1088267,313861,10332570,1064554,346087,1410641,1010304,271294,1281598,1037627,273065,1310692,15492,61695,38758,13098,0,0,0,1054870,374924,1429794,981713,340354,1322068,1107613,393670,1501283,47835,44759,92594,44563,43148,87711,3272,1611,4883,110881,47520,158402,907,135,1042,126,12,138,111914,47668,159582,4964,30216,35180,890157,252281,1142438,0,0,0,0,0,0,890157,252281,1142438,0,0,0,416686,60784,18382,82840,5733,88573,9684,-28837,-19153,-43059,-47583,-90643
1995,NIOBRARA,9,53673,64314,158879,90844,1158232,21061,,16,8,24,9988539,4940101,14928640,1221986,382964,13323691,1141798,465059,1606857,1100184,388686,1488870,1302379,411591,1713970,3000,61314,38614,15059,0,0,0,1040713,388302,1429016,967906,355903,1323809,1092749,407717,1500466,52183,38661,90844,52266,36918,89184,-83,1743,1660,110393,47311,157704,901,134,1035,127,12,139,111421,47458,158879,1078,19983,21061,876031,282201,1158232,0,0,0,0,0,0,876031,282201,1158232,0,0,0,418985,61584,18421,173892,109156,283048,101085,76756,177842,49049,57341,106391
1996,NIOBRARA,9,57186,80751,184945,101080,1223248,34350,,13,6,19,8539440,3950873,12490313,1308568,435848,10745895,1331545,421540,1753086,1273343,341806,1615149,1339618,357299,1696917,15482,65268,42720,14466,0,0,0,1156851,386772,1543622,1069905,345959,1415863,1214693,406110,1620804,62903,38177,101080,62283,36633,98916,620,1544,2164,128643,55133,183776,895,134,1029,128,12,141,129666,55279,184945,7524,26826,34350,956757,266490,1223248,0,0,0,0,0,0,956757,266490,1223248,0,0,0,422319,61459,18387,261641,75582,337222,174694,34769,209463,116852,15430,132282
1997,NIOBRARA,9,56896,64287,181861,98147,1273144,14619,,13,9,22,8038462,5966188,14004650,1362225,453759,12188665,1394282,427167,1821448,1339784,360481,1700265,1423948,362566,1786514,12109,52179,42389,14507,0,0,0,1168188,399582,1567770,1083071,359735,1442806,1226598,419561,1646159,63583,34564,98147,61346,34237,95583,2237,327,2564,126488,54209,180697,889,133,1022,129,13,142,127506,54354,181861,5056,9563,14619,972043,301101,1273144,0,0,0,0,0,0,972043,301101,1273144,0,0,0,425860,61066,18423,311211,67432,378643,226094,27584,253678,167684,7605,175290
1998,NIOBRARA,9,56837,64063,152573,76742,1290032,32580,,11,10,21,6854041,6649841,13503882,1272249,388445,11843187,1214176,454121,1668297,1159160,388237,1547397,1170330,400088,1570418,12793,51270,42223,14614,0,0,0,1132726,419202,1551927,1067946,388245,1456191,1189362,440162,1629524,44834,31908,76742,41973,31068,73041,2861,840,3701,106000,45429,151429,873,129,1002,130,13,143,107003,45571,152573,6696,25884,32580,974193,315839,1290032,0,0,0,0,0,0,974193,315839,1290032,0,0,0,432644,61364,18406,146230,65876,212106,81450,34920,116370,24814,13960,38774
1999,NIOBRARA,9,59176,79811,175783,94596,1290004,35167,,14,10,24,8921945,5957578,14879523,1361675,444245,13073599,1345758,470552,1816310,1288180,389143,1677323,1344069,408078,1752147,13732,66079,43846,15330,0,0,0,1179316,416233,1595550,1099916,379027,1478943,1238282,437045,1675327,51682,42914,94596,48997,39894,88891,2685,3020,5705,122255,52395,174650,861,128,990,130,13,143,123247,52536,175783,5935,29232,35167,998453,291551,1290004,0,0,0,0,0,0,998453,291551,1290004,0,0,0,432340,60656,18305,245842,91525,337367,166441,54319,220760,107475,33507,140982
2000,NIOBRARA,9,61133,90073,236564,119949,1158534,28022,,12,5,17,7684141,3247591,10931732,1179453,376851,9375426,1183406,382582,1565988,1129280,285502,1414782,1140026,285974,1426000,8889,81184,45237,15896,0,0,0,1150659,392410,1543069,1030105,337533,1367638,1208192,412030,1620222,64507,55442,119949,61959,50844,112803,2548,4598,7146,164815,70635,235449,846,125,972,130,13,143,165791,70773,236564,4598,23424,28022,915763,242771,1158534,0,0,0,0,0,0,915763,242771,1158534,0,0,0,434733,59986,18463,153301,45049,198350,32747,-9828,22919,-24786,-29448,-54235
2001,NIOBRARA,9,63487,74018,165677,101549,1136765,24414,,13,8,21,8064071,5136282,13200353,1217217,396722,11586414,1195325,426422,1621747,1137025,347217,1484242,1217104,351107,1568211,11335,62683,46965,16522,0,0,0,1056486,371919,1428405,987283,338932,1326215,1109310,390515,1499825,66755,34794,101549,64693,32865,97558,2062,1929,3991,115201,49372,164572,837,125,962,130,13,143,116168,49509,165677,5694,18720,24414,867869,268896,1136765,0,0,0,0,0,0,867869,268896,1136765,0,0,0,437081,59660,18923,208042,87490,295532,138839,54503,193341,86014,35907,121921
2002,NIOBRARA,9,63605,104388,261911,119129,1028188,46415,,7,4,11,4754544,2677243,7431787,1026144,308200,6097444,1047493,297678,1345172,988713,188466,1177179,1001792,188466,1190258,11624,92763,47156,16449,0,0,0,1095045,360599,1455643,958670,298667,1257337,1149797,378629,1528425,60402,58726,119129,56324,54593,110918,4078,4133,8211,182572,78245,260817,828,123,951,130,13,143,183530,78381,261911,4945,41470,46415,846167,182021,1028188,0,0,0,0,0,0,846167,182021,1028188,0,0,0,442330,59688,19598,88823,-988,87835,-47551,-62920,-110472,-102304,-80950,-183254
2003,NIOBRARA,9,65020,81845,218625,111969,1038947,18700,,10,6,16,6500154,3746237,10246391,957198,256622,9032573,888448,332068,1220516,832794,240857,1073651,840295,241007,1081302,7292,74553,48362,16658,0,0,0,1040994,347247,1388241,936128,298508,1234636,1093044,364609,1457653,62201,49768,111969,60393,47371,107764,1808,2397,4205,152277,65262,217539,821,123,944,130,13,143,153228,65397,218625,4412,14288,18700,821153,217794,1038947,0,0,0,0,0,0,821153,217794,1038947,0,0,0,455307,59765,20491,-47680,33560,-14120,-152546,-15179,-167725,-204596,-32541,-237137
2004,NIOBRARA,9,66634,80354,199331,103760,961356,28922,,9,6,15,5485756,3937282,9423038,912363,260148,8250528,851523,330489,1182012,786864,248160,1035024,798108,248160,1046268,14701,65653,49958,16676,0,0,0,966079,327289,1293369,876316,284356,1160672,1014383,343654,1358037,64090,39670,103760,61478,38047,99525,2612,1623,4235,138774,59475,198249,817,122,939,130,13,143,139722,59609,199331,7783,21139,28922,754485,206871,961356,0,0,0,0,0,0,754485,206871,961356,0,0,0,467474,60501,20545,-24793,46133,21341,-114556,3200,-111356,-162860,-13165,-176025
2005,NIOBRARA,9,70104,82809,234999,104218,1062323,31354,,15,10,25,9573605,6413893,15987498,1006630,281734,14699131,903811,393008,1296819,836189,307717,1143906,842556,325252,1167808,17040,65769,50582,19522,0,0,0,1041176,391718,1432894,927069,340930,1267999,1093235,411304,1504539,60818,43400,104218,60531,42154,102685,287,1246,1533,163746,70177,233923,813,121,934,130,13,143,164689,70311,234999,7321,24033,31354,808349,253974,1062323,0,0,0,0,0,0,808349,253974,1062323,0,0,0,474138,60960,20637,-23258,52078,28820,-137365,1289,-136075,-189424,-18297,-207720
2006,NIOBRARA,9,74573,101237,259208,113675,982288,44304,,8,6,14,5057551,4112181,9169732,1015458,318961,7835315,1014628,332435,1347063,942291,228962,1171253,966816,234892,1201708,16747,84490,55590,18983,0,0,0,1045699,353776,1399476,919656,295185,1214841,1097984,371465,1469450,54828,58847,113675,51003,55796,106799,3825,3051,6876,180696,77441,258137,808,121,929,130,13,143,181634,77574,259208,7957,36347,44304,801280,181008,982288,0,0,0,0,0,0,801280,181008,982288,0,0,0,479787,61817,20765,94973,37250,132223,-31071,-21341,-52412,-83356,-39030,-122386
2007,NIOBRARA,9,76529,75928,193515,94468,1046727,28380,,14,6,20,8747127,3744641,12491768,1048874,315206,11127690,1004811,363149,1367961,943611,271893,1215504,998934,275786,1274720,5162,70765,56038,20491,0,0,0,1007184,355906,1363090,927564,318540,1246104,1057543,373701,1431245,50765,43702,94468,50049,41726,91776,716,1976,2692,134672,57716,192388,804,120,924,183,21,203,135658,57857,193515,4460,23920,28380,816301,230427,1046727,0,0,0,0,0,0,816301,230427,1046727,0,0,0,486068,61679,21082,77248,44609,121857,-2373,7243,4870,-52732,-10552,-63284
2008,NIOBRARA,9,79144,60556,163175,84551,1104247,15499,,12,7,19,7300027,5023961,12323988,1065708,317069,10941210,1024569,365287,1389856,958274,291882,1250156,976695,322593,1299288,7847,52709,58448,20696,0,0,0,1014495,352977,1367472,958515,324926,1283441,1065220,370625,1435846,48461,36090,84551,45959,33748,79707,2502,2342,4844,113415,48606,162022,800,119,919,213,21,234,114428,48746,163175,4282,11217,15499,847324,256923,1104247,0,0,0,0,0,0,847324,256923,1104247,0,0,0,492538,61654,21367,66054,40361,106415,10074,12311,22384,-40651,-5338,-45989
2009,NIOBRARA,9,79601,53214,161041,70105,1175095,20117,,12,11,23,7668009,6912491,14580500,1173516,377473,13029511,1067741,488883,1556624,994491,429318,1423809,1013812,435719,1449531,13396,39818,59854,19747,0,0,0,1040081,386277,1426358,987002,357916,1344918,1092085,405590,1497676,44924,25181,70105,43083,25843,68926,1841,-662,1179,111920,47966,159886,796,119,914,218,23,241,112934,48107,161041,5116,15001,20117,877107,297987,1175095,0,0,0,0,0,0,877107,297987,1175095,0,0,0,496673,62358,21367,80739,130967,211706,27660,102606,130266,-24344,83293,58948
2010,NIOBRARA,9,80217,74860,216004,88695,1237039,37313,,13,11,24,7785923,6995301,14781224,1350292,456834,12974097,1267525,549245,1816770,1188947,472746,1661693,1286708,685613,1972321,19948,54912,58630,21587,0,0,0,1127135,451915,1579051,1034357,408907,1443264,1183492,474511,1658003,49146,39549,88695,47351,38012,85363,1795,1537,3332,150395,64455,214850,791,118,909,223,23,246,151408,64596,216004,8050,29263,37313,918531,318508,1237039,0,0,0,0,0,0,918531,318508,1237039,0,0,0,500484,62621,21413,233168,140338,373506,140389,97330,237719,84033,74734,158767
2011,NIOBRARA,9,81935,53970,127146,74353,1264046,20895,,13,10,23,8212580,6201645,14414225,1372304,463505,12578416,1334656,506248,1840903,1263935,441063,1704998,1383936,471735,1855671,9533,44438,61188,20747,0,0,0,1077773,408667,1486439,1049754,391475,1441229,1131661,429100,1560761,49456,24897,74353,46938,24281,71219,2518,616,3134,88197,37799,125996,787,117,904,223,23,246,89207,37939,127146,4127,16768,20895,934983,329063,1264046,0,0,0,0,0,0,934983,329063,1264046,0,0,0,505247,63490,21414,284902,114773,399675,256883,97581,354464,202994,77148,280142
2012,NIOBRARA,9,81921,118640,373636,126976,1114702,53498,,9,3,12,5712283,1896798,7609081,1240478,428888,5939717,1340131,342685,1682815,1262763,219491,1482254,1279549,233044,1512593,16954,101687,60414,21507,0,0,0,1251387,417425,1668812,1050052,327045,1377097,1313956,438296,1752253,41663,85313,126976,37276,80824,118100,4387,4489,8876,260744,111747,372492,783,117,899,223,23,246,261749,111887,373636,7208,46290,53498,940766,173936,1114702,0,0,0,0,0,0,940766,173936,1114702,0,0,0,505247,63490,21414,290079,15640,305718,88744,-74740,14003,26174,-95612,-69438
1988,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,PLATTE,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
